id,bid,user_id,用户昵称,微博正文,头条文章url,发布位置,艾特用户,话题,转发数,评论数,点赞数,发布时间,发布工具,微博图片url,微博视频url,retweet_id
4885862393316579,2061540914,英英布谷,Holubka（鸽子）留在巴赫穆特附近。她的主人撤离了。鸽子在俄军炮击中受伤，但伤口几乎已经愈合。边防卫队在照顾她。#巴赫穆特##乌克兰##俄乌战争##乌克兰局势#L英英布谷的微博视频,,,,"巴赫穆特,乌克兰,俄乌战争,乌克兰局势",2,13,66,2023-04-01 23:43,,,,
4885859860219794,6042105246,且听军说,#俄乌战争##国际局势##军事#俄罗斯再提“和平十条”和平是近是远？L且听军说的微博视频,,,,"俄乌战争,国际局势,军事",0,0,1,2023-04-01 23:33,,,,
4885859176810558,2061540914,英英布谷,巴赫穆特地区只是在日历上是春天。。。这就是乌克兰战士这些天必须在最前线战斗的条件。#巴赫穆特##乌克兰##俄乌战争##乌克兰局势##俄乌局势新进展#L英英布谷的微博视频,,,,"巴赫穆特,乌克兰,俄乌战争,乌克兰局势,俄乌局势新进展",0,2,28,2023-04-01 23:31,,,,
4885853019572834,6042105246,且听军说,#俄乌战争##国际局势##军事#被俘乌克兰士兵：因缺乏弹药未得到支援，故在巴赫穆特地区投降L且听军说的微博视频,,,,"俄乌战争,国际局势,军事",1,0,0,2023-04-01 23:06,,,,
4885844571201650,6042105246,且听军说,#俄乌战争##国际局势##军事#内部画面:俄士兵哼着小曲驾驶T-90M主战坦克连续发射多枚炮弹！L且听军说的微博视频,,,,"俄乌战争,国际局势,军事",1,0,1,2023-04-01 22:33,,,,
4885838155220773,6042105246,且听军说,#俄乌战争##国际局势##军事#小心引火上身！德国前少将警告：援乌重型武器只会延长冲突L且听军说的微博视频,,,,"俄乌战争,国际局势,军事",1,0,1,2023-04-01 22:07,,,,
4885810618307582,7411637765,戈钺ypa,#俄乌战争#2023年3月28日，俄罗斯叶夫列莫夫的一家法院以“诋毁俄罗斯军方”的罪名判处阿列克谢·莫您是我的英雄！俄罗斯一女孩写信给被因发表反战言论被判刑的父亲O网页链接,,,,俄乌战争,0,0,0,2023-04-01 20:18,,['https://wx4.sinaimg.cn/large/0085AtyBly1hckgovidaqj30u10gwgpk.jpg'],,
4914130832330408,2061540914,英英布谷,乌克兰外交部长德米特罗-库列巴回应佩斯科夫关于乌克兰“非军事化”“成功”的声明“在接下来的声明系列中：事实上，特别行动的所有任务都已经完成。作为欧盟和北约成员国的乌克兰将无法攻击俄罗斯，克里米亚不再是俄罗斯预算的负担，纳淬仍然存在但只在俄罗斯，俄罗斯士兵和装备在乌克兰的损失我们不会告诉任何人，但这些损失帮助我们纠正了错误并使俄罗斯变得更强大，”-库列巴建议佩斯科夫可能发表的下一份声明。根据乌克兰部长的说法，克里姆林宫的此类声明表明，“普京将能够向俄罗斯人解释克里米亚和整个乌克兰的损失。因此，这位外交官敦促伙伴国家“不要害怕全球变化”，因为“没有现代俄罗斯的生活是可能的”。#乌克兰##俄罗斯##俄乌战争##俄罗斯乌克,,,,"乌克兰,俄罗斯,俄乌战争,俄罗斯乌克兰",6,11,125,2023-06-18 23:52,,['https://wx1.sinaimg.cn/large/7ae09e32gy1hf2t2odolfj20zk0mfn89.jpg'],,
4914128802812777,1409194012,晨雾,我国最大遗憾，1994年被迫划给俄罗斯的领土现在还能再收回来吗#乌克兰局势##俄乌局势最新进展##俄乌战争速报##俄乌战争##俄乌战争速报#L晨雾的微博视频,,,,"乌克兰局势,俄乌局势最新进展,俄乌战争速报,俄乌战争",7,56,91,2023-06-18 23:44,,,,
4914125560089848,2061540914,英英布谷,北约将在维尔纽斯峰会批准援助，使乌克兰在几年内更接近北约标准-斯托尔滕贝格西方现在必须确保，在战争结束后，乌克兰拥有可靠的安全机制，而且俄罗斯无法重新武装并再次发动进攻。#乌克兰##俄罗斯##俄乌战争##北约##乌克兰局势#,,,,"乌克兰,俄罗斯,俄乌战争,北约,乌克兰局势",5,6,107,2023-06-18 23:31,,['https://wx1.sinaimg.cn/large/7ae09e32gy1hf2slt1vx1j20iw0andhy.jpg'],,
